Weight	Nested	Procedure	subjectID	event_code	block_nr	block_outcome	block_wiggleroom	sequence_nr	sequence_difficulty	sequence_feedback	sequence_feedback_scaled	trial_nr	trial_difficulty	color_difficulta	correct_key
1		gridBlockStartProc	1009	1	1	1	1	0	0	0	0	0	0	0	0
1		gridSequenceStartProc	1009	3	1	1	1	1	0.49	0	0	0	0	0	0
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	1	0.4339885900709062	1	6
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	2	0.5625228925598529	1	4
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	3	0.6068531558068007	1	4
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	4	0.3166076894920017	1	6
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	5	0.5433978359458321	2	6
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	6	0.4642810275332027	2	4
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	7	0.5483758506274984	2	6
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	8	0.47733089709046334	2	4
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	9	0.4515103297689497	2	4
1		gridTrialProc	1009	5	1	1	1	1	0.49	0	0	10	0.4802330621150778	2	4
1		gridSequenceEndProc	1009	4	1	1	1	1	0.49	-0.2871826586009024	-0.2584643927408122	0	0	0	0
1		gridSequenceStartProc	1009	3	1	1	1	2	0.25	0	0	0	0	0	0
1		gridTrialProc	1009	5	1	1	1	2	0.25	0	0	1	0.20814195400419178	1	6
1		gridTrialProc	1009	5	1	1	1	2	0.25	0	0	2	0.17127316714247243	1	6
1		gridTrialProc	1009	5	1	1	1	2	0.25	0	0	3	0.24446630042344997	1	6
1		gridTrialProc	1009	5	1	1	1	2	0.25	0	0	4	0.23368625605367854	2	4
1		gridTrialProc	1009	5	1	1	1	2	0.25	0	0	5	0.1041364346710203	1	6
1		gridTrialProc	1009	5	1	1	1	2	0.25	0	0	6	0.29434442463314464	1	6
1		gridTrialProc	1009	5	1	1	1	2	0.25	0	0	7	0.08109894100536255	2	4
1		gridTrialProc	1009	5	1	1	1	2	0.25	0	0	8	0.2996395235845394	2	4
1		gridTrialProc	1009	5	1	1	1	2	0.25	0	0	9	0.2539654830011743	2	4
