Weight	Nested	Procedure	subjectID	event_code	block_nr	block_outcome	block_wiggleroom	sequence_nr	sequence_difficulty	sequence_feedback	sequence_feedback_scaled	trial_nr	trial_difficulty	color	correct_response
1		gridBlockStartProc	54	1	1	1	1	0	0	0	0	0	0	0	0
1		gridSequenceStartProc	54	3	1	1	1	1	0.42454545454545456	0	0	0	0	0	0
1		gridTrialProc	54	5	1	1	1	1	0.42454545454545456	0	0	1	0.4651474795017758	2	6
1		gridTrialProc	54	5	1	1	1	1	0.42454545454545456	0	0	2	0.4400611344846826	1	4
1		gridTrialProc	54	5	1	1	1	1	0.42454545454545456	0	0	3	0.3754280127808612	1	4
1		gridTrialProc	54	5	1	1	1	1	0.42454545454545456	0	0	4	0.45571610853962263	1	4
1		gridTrialProc	54	5	1	1	1	1	0.42454545454545456	0	0	5	0.5448632000812963	1	6
1		gridTrialProc	54	5	1	1	1	1	0.42454545454545456	0	0	6	0.258578090692669	1	4
1		gridTrialProc	54	5	1	1	1	1	0.42454545454545456	0	0	7	0.5953194619674486	1	6
1		gridTrialProc	54	5	1	1	1	1	0.42454545454545456	0	0	8	0.3924538027859534	2	6
1		gridSequenceEndProc	54	4	1	1	1	1	0.42454545454545456	0.10800366044695825	0.10800366044695825	0	0	0	0
1		gridSequenceStartProc	54	3	1	1	1	2	0.3372727272727273	0	0	0	0	0	0
1		gridTrialProc	54	5	1	1	1	2	0.3372727272727273	0	0	1	0.3170724675272777	2	6
1		gridTrialProc	54	5	1	1	1	2	0.3372727272727273	0	0	2	0.33956052343151905	1	4
1		gridTrialProc	54	5	1	1	1	2	0.3372727272727273	0	0	3	0.21319431665986835	2	6
1		gridTrialProc	54	5	1	1	1	2	0.3372727272727273	0	0	4	0.2265026300000459	2	6
1		gridTrialProc	54	5	1	1	1	2	0.3372727272727273	0	0	5	0.23951928017160987	1	4
1		gridTrialProc	54	5	1	1	1	2	0.3372727272727273	0	0	6	0.2941583126313791	1	4
1		gridTrialProc	54	5	1	1	1	2	0.3372727272727273	0	0	7	0.2435755697629658	1	4
1		gridTrialProc	54	5	1	1	1	2	0.3372727272727273	0	0	8	0.341067395220339	1	4
1		gridSequenceEndProc	54	4	1	1	1	2	0.3372727272727273	0.4825743983887834	0.29528902941787083	0	0	0	0
1		gridSequenceStartProc	54	3	1	1	1	3	0.4681818181818182	0	0	0	0	0	0
1		gridTrialProc	54	5	1	1	1	3	0.4681818181818182	0	0	1	0.5058346457699237	2	4
1		gridTrialProc	54	5	1	1	1	3	0.4681818181818182	0	0	2	0.32930823245228924	2	6
1		gridTrialProc	54	5	1	1	1	3	0.4681818181818182	0	0	3	0.43203446290969205	1	4
1		gridTrialProc	54	5	1	1	1	3	0.4681818181818182	0	0	4	0.3352199083046984	1	4
1		gridTrialProc	54	5	1	1	1	3	0.4681818181818182	0	0	5	0.580488241282431	1	6
1		gridTrialProc	54	5	1	1	1	3	0.4681818181818182	0	0	6	0.43853003837398447	1	4
1		gridTrialProc	54	5	1	1	1	3	0.4681818181818182	0	0	7	0.5406562161713874	1	6
1		gridTrialProc	54	5	1	1	1	3	0.4681818181818182	0	0	8	0.44732819074889907	1	4
1		gridSequenceEndProc	54	4	1	1	1	3	0.4681818181818182	-0.002604162742912919	0.19599129869760956	0	0	0	0
1		gridSequenceStartProc	54	3	1	1	1	4	0.27181818181818185	0	0	0	0	0	0
1		gridTrialProc	54	5	1	1	1	4	0.27181818181818185	0	0	1	0.3716732045227208	2	6
1		gridTrialProc	54	5	1	1	1	4	0.27181818181818185	0	0	2	0.21834750771698902	2	6
1		gridTrialProc	54	5	1	1	1	4	0.27181818181818185	0	0	3	0.22900710388645057	2	6
1		gridTrialProc	54	5	1	1	1	4	0.27181818181818185	0	0	4	0.17703585112517178	1	4
1		gridTrialProc	54	5	1	1	1	4	0.27181818181818185	0	0	5	0.27639941422936165	2	6
1		gridTrialProc	54	5	1	1	1	4	0.27181818181818185	0	0	6	0.3127794711120939	2	6
1		gridTrialProc	54	5	1	1	1	4	0.27181818181818185	0	0	7	0.3902013051272607	2	6
1		gridTrialProc	54	5	1	1	1	4	0.27181818181818185	0	0	8	0.2040450866705748	2	6
1		gridSequenceEndProc	54	4	1	1	1	4	0.27181818181818185	0.7493063179216519	0.33432005350362015	0	0	0	0
1		gridSequenceStartProc	54	3	1	1	1	5	0.44636363636363635	0	0	0	0	0	0
1		gridTrialProc	54	5	1	1	1	5	0.44636363636363635	0	0	1	0.5009835977672619	1	6
1		gridTrialProc	54	5	1	1	1	5	0.44636363636363635	0	0	2	0.42042722982156255	2	6
1		gridTrialProc	54	5	1	1	1	5	0.44636363636363635	0	0	3	0.4082220026276894	1	4
1		gridTrialProc	54	5	1	1	1	5	0.44636363636363635	0	0	4	0.3844768519310551	2	6
1		gridTrialProc	54	5	1	1	1	5	0.44636363636363635	0	0	5	0.6579125385487181	1	6
1		gridTrialProc	54	5	1	1	1	5	0.44636363636363635	0	0	6	0.5276932538811787	1	6
1		gridTrialProc	54	5	1	1	1	5	0.44636363636363635	0	0	7	0.5681527112424849	2	4
1		gridTrialProc	54	5	1	1	1	5	0.44636363636363635	0	0	8	0.531780759778797	2	4
1		gridSequenceEndProc	54	4	1	1	1	5	0.44636363636363635	0.04620630386945673	0.27669730357678746	0	0	0	0
1		gridSequenceStartProc	54	3	1	1	1	6	0.3809090909090909	0	0	0	0	0	0
