Weight	Nested	Procedure	subjectID	event_code	block_nr	block_outcome	block_wiggleroom	sequence_nr	sequence_difficulty	sequence_feedback	sequence_feedback_scaled	trial_nr	trial_difficulty	color	correct_response
1		gridBlockStartProc	60	1	1	1	1	0	0	0	0	0	0	0	0
1		gridSequenceStartProc	60	3	1	1	1	1	0.3809090909090909	0	0	0	0	0	0
1		gridTrialProc	60	5	1	1	1	1	0.3809090909090909	0	0	1	0.41681950536135937	2	6
1		gridTrialProc	60	5	1	1	1	1	0.3809090909090909	0	0	2	0.33054252794709227	2	6
1		gridTrialProc	60	5	1	1	1	1	0.3809090909090909	0	0	3	0.3222144680222651	1	4
1		gridTrialProc	60	5	1	1	1	1	0.3809090909090909	0	0	4	0.492501004975922	1	4
1		gridTrialProc	60	5	1	1	1	1	0.3809090909090909	0	0	5	0.3368367428712269	1	4
1		gridTrialProc	60	5	1	1	1	1	0.3809090909090909	0	0	6	0.2823661307317041	1	4
1		gridTrialProc	60	5	1	1	1	1	0.3809090909090909	0	0	7	0.44929270344500183	2	6
1		gridTrialProc	60	5	1	1	1	1	0.3809090909090909	0	0	8	0.5205160507850337	1	6
1		gridSequenceEndProc	60	4	1	1	1	1	0.3809090909090909	0.4120234641451519	0.4120234641451519	0	0	0	0
1		gridSequenceStartProc	60	3	1	1	1	2	0.27181818181818185	0	0	0	0	0	0
1		gridTrialProc	60	5	1	1	1	2	0.27181818181818185	0	0	1	0.27869887065355264	1	4
1		gridTrialProc	60	5	1	1	1	2	0.27181818181818185	0	0	2	0.14099131256762373	2	6
1		gridTrialProc	60	5	1	1	1	2	0.27181818181818185	0	0	3	0.280492904748739	1	4
1		gridTrialProc	60	5	1	1	1	2	0.27181818181818185	0	0	4	0.2621394043134198	2	6
1		gridTrialProc	60	5	1	1	1	2	0.27181818181818185	0	0	5	0.1975491169348942	2	6
1		gridTrialProc	60	5	1	1	1	2	0.27181818181818185	0	0	6	0.33680181436729856	1	4
1		gridTrialProc	60	5	1	1	1	2	0.27181818181818185	0	0	7	0.2775492696436123	2	6
1		gridTrialProc	60	5	1	1	1	2	0.27181818181818185	0	0	8	0.2222992119265332	1	4
1		gridSequenceEndProc	60	4	1	1	1	2	0.27181818181818185	0.9544071418061416	0.6832153029756467	0	0	0	0
1		gridSequenceStartProc	60	3	1	1	1	3	0.4681818181818182	0	0	0	0	0	0
1		gridTrialProc	60	5	1	1	1	3	0.4681818181818182	0	0	1	0.442948888446879	2	6
1		gridTrialProc	60	5	1	1	1	3	0.4681818181818182	0	0	2	0.6482053103217132	1	6
1		gridTrialProc	60	5	1	1	1	3	0.4681818181818182	0	0	3	0.5576123587241862	1	6
1		gridTrialProc	60	5	1	1	1	3	0.4681818181818182	0	0	4	0.6284996397440262	1	6
1		gridTrialProc	60	5	1	1	1	3	0.4681818181818182	0	0	5	0.45778983964636943	1	4
1		gridTrialProc	60	5	1	1	1	3	0.4681818181818182	0	0	6	0.38970662050206933	2	6
1		gridTrialProc	60	5	1	1	1	3	0.4681818181818182	0	0	7	0.41622539132385655	1	4
1		gridTrialProc	60	5	1	1	1	3	0.4681818181818182	0	0	8	0.4441069711488169	2	6
1		gridSequenceEndProc	60	4	1	1	1	3	0.4681818181818182	-0.00594477118694825	0.4534952782547817	0	0	0	0
1		gridSequenceStartProc	60	3	1	1	1	4	0.31545454545454543	0	0	0	0	0	0
1		gridTrialProc	60	5	1	1	1	4	0.31545454545454543	0	0	1	0.3264175499568728	1	4
1		gridTrialProc	60	5	1	1	1	4	0.31545454545454543	0	0	2	0.29142609356779914	1	4
1		gridTrialProc	60	5	1	1	1	4	0.31545454545454543	0	0	3	0.35780415192116277	2	6
1		gridTrialProc	60	5	1	1	1	4	0.31545454545454543	0	0	4	0.1912445081303797	2	6
1		gridTrialProc	60	5	1	1	1	4	0.31545454545454543	0	0	5	0.24236191199589624	2	6
1		gridTrialProc	60	5	1	1	1	4	0.31545454545454543	0	0	6	0.33618619199736716	1	4
1		gridTrialProc	60	5	1	1	1	4	0.31545454545454543	0	0	7	0.2735432595664967	1	4
1		gridTrialProc	60	5	1	1	1	4	0.31545454545454543	0	0	8	0.2488775989680176	2	6
1		gridSequenceEndProc	60	4	1	1	1	4	0.31545454545454543	0.7944774328917692	0.5387408169140286	0	0	0	0
1		gridSequenceStartProc	60	3	1	1	1	5	0.42454545454545456	0	0	0	0	0	0
1		gridTrialProc	60	5	1	1	1	5	0.42454545454545456	0	0	1	0.3367754798628071	1	4
1		gridTrialProc	60	5	1	1	1	5	0.42454545454545456	0	0	2	0.3593366679557626	1	4
1		gridTrialProc	60	5	1	1	1	5	0.42454545454545456	0	0	3	0.3827319344063303	1	4
1		gridTrialProc	60	5	1	1	1	5	0.42454545454545456	0	0	4	0.37863058501138147	1	4
1		gridTrialProc	60	5	1	1	1	5	0.42454545454545456	0	0	5	0.2605288276899816	2	6
1		gridTrialProc	60	5	1	1	1	5	0.42454545454545456	0	0	6	0.40852962249295316	2	6
1		gridTrialProc	60	5	1	1	1	5	0.42454545454545456	0	0	7	0.40966916861888025	2	6
1		gridTrialProc	60	5	1	1	1	5	0.42454545454545456	0	0	8	0.4008651481167009	2	6
1		gridSequenceEndProc	60	4	1	1	1	5	0.42454545454545456	0.20117214428619767	0.47122708238846245	0	0	0	0
1		gridSequenceStartProc	60	3	1	1	1	6	0.49	0	0	0	0	0	0
1		gridTrialProc	60	5	1	1	1	6	0.49	0	0	1	0.5456931395728425	2	4
1		gridTrialProc	60	5	1	1	1	6	0.49	0	0	2	0.5452649704282051	2	4
1		gridTrialProc	60	5	1	1	1	6	0.49	0	0	3	0.5337398688070153	2	4
1		gridTrialProc	60	5	1	1	1	6	0.49	0	0	4	0.4077198838842095	1	4
1		gridTrialProc	60	5	1	1	1	6	0.49	0	0	5	0.5968729011865352	1	6
1		gridTrialProc	60	5	1	1	1	6	0.49	0	0	6	0.5991677566819998	2	4
1		gridTrialProc	60	5	1	1	1	6	0.49	0	0	7	0.40507036229484916	2	6
1		gridTrialProc	60	5	1	1	1	6	0.49	0	0	8	0.6213310150937259	1	6
1		gridSequenceEndProc	60	4	1	1	1	6	0.49	-0.007362959641479705	0.3914620753834721	0	0	0	0
1		gridSequenceStartProc	60	3	1	1	1	7	0.3372727272727273	0	0	0	0	0	0
1		gridTrialProc	60	5	1	1	1	7	0.3372727272727273	0	0	1	0.4310323903302173	2	6
1		gridTrialProc	60	5	1	1	1	7	0.3372727272727273	0	0	2	0.27838794463263045	1	4
1		gridTrialProc	60	5	1	1	1	7	0.3372727272727273	0	0	3	0.2379697414834518	2	6
1		gridTrialProc	60	5	1	1	1	7	0.3372727272727273	0	0	4	0.5153400692602245	2	4
1		gridTrialProc	60	5	1	1	1	7	0.3372727272727273	0	0	5	0.3077140432954387	1	4
1		gridTrialProc	60	5	1	1	1	7	0.3372727272727273	0	0	6	0.3584497210604383	1	4
1		gridTrialProc	60	5	1	1	1	7	0.3372727272727273	0	0	7	0.23990111732151526	1	4
1		gridTrialProc	60	5	1	1	1	7	0.3372727272727273	0	0	8	0.3135935882389504	2	6
1		gridSequenceEndProc	60	4	1	1	1	7	0.3372727272727273	0.6673525123372571	0.43087499494829856	0	0	0	0
1		gridSequenceStartProc	60	3	1	1	1	8	0.25	0	0	0	0	0	0
1		gridTrialProc	60	5	1	1	1	8	0.25	0	0	1	0.13989920166550174	1	4
1		gridTrialProc	60	5	1	1	1	8	0.25	0	0	2	0.3589564570055115	1	4
1		gridTrialProc	60	5	1	1	1	8	0.25	0	0	3	0.3423889139640429	2	6
1		gridTrialProc	60	5	1	1	1	8	0.25	0	0	4	0.1855295481775256	2	6
1		gridTrialProc	60	5	1	1	1	8	0.25	0	0	5	0.3217524491850369	1	4
1		gridTrialProc	60	5	1	1	1	8	0.25	0	0	6	0.23610413226293575	2	6
1		gridTrialProc	60	5	1	1	1	8	0.25	0	0	7	0.2620981338014746	1	4
1		gridTrialProc	60	5	1	1	1	8	0.25	0	0	8	0.1720339178723695	1	4
1		gridSequenceEndProc	60	4	1	1	1	8	0.25	0.9596647028757762	0.4969737084392332	0	0	0	0
1		gridSequenceStartProc	60	3	1	1	1	9	0.44636363636363635	0	0	0	0	0	0
1		gridTrialProc	60	5	1	1	1	9	0.44636363636363635	0	0	1	0.32458548793222647	2	6
1		gridTrialProc	60	5	1	1	1	9	0.44636363636363635	0	0	2	0.5722645091901135	2	4
1		gridTrialProc	60	5	1	1	1	9	0.44636363636363635	0	0	3	0.4372758696786306	2	6
